Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn,AvgMonthlySpend
8,0,38,0,4370,71,5,17,3,1,1,30,197.64,0,5.201052631578947
0,0,39,0,318,5,7,4,2,1,2,25,46.035,0,1.1803846153846154
10,0,37,0,2453,60,359,24,3,1,1,30,1536.52,0,41.527567567567566
10,0,38,0,4198,66,1,35,1,1,1,15,240.02,0,6.316315789473684
3,0,38,0,2393,58,2,33,1,1,1,15,145.805,0,3.8369736842105264
11,0,38,1,3775,82,32,28,3,1,1,30,282.28,0,7.428421052631578
4,0,38,0,2360,39,285,18,3,1,1,30,1235.96,0,32.525263157894734
13,0,37,2,9115,121,144,43,3,1,1,30,945.44,0,25.552432432432433
7,0,38,0,13773,169,0,44,3,1,1,30,557.68,0,14.67578947368421
7,0,38,1,4515,83,2,25,3,1,1,30,191.92,0,5.050526315789473
6,0,38,0,5918,95,7,12,3,1,1,30,268.52,0,7.066315789473684
9,0,38,0,2238,54,8,17,3,1,2,30,123.68,0,3.254736842105263
25,0,38,3,15140,225,54,32,3,1,1,30,830.6,0,21.857894736842105
4,0,38,1,3095,27,483,8,3,1,1,30,2056.88,0,54.12842105263158
9,0,37,0,15485,182,150,30,2,1,1,25,1380.015,0,37.29770270270271
3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,0,27.22810810810811
0,0,37,0,875,14,0,11,2,1,2,25,40.005,1,1.0812162162162162
2,0,38,0,710,14,13,8,3,1,2,30,80.96,0,2.1305263157894734
0,0,37,0,0,0,0,0,2,1,2,25,0.0,1,0.0
3,0,37,0,7508,127,384,43,2,1,1,25,2071.575,0,55.98851351351351
7,0,37,1,11465,154,11,47,4,1,1,45,317.975,0,8.59391891891892
8,0,37,1,6718,75,108,37,2,1,1,25,791.685,0,21.39689189189189
23,1,33,0,955,47,16,17,2,1,2,25,117.09,1,3.5481818181818183
21,1,36,8,10435,93,1,42,5,2,1,55,159.42,0,4.428333333333333
13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1,10.645000000000001
1,0,34,0,2840,22,0,14,3,1,1,30,114.48,0,3.367058823529412
9,0,35,0,2990,41,9,16,3,1,2,30,157.24,1,4.492571428571429
9,1,36,0,2268,44,34,31,3,1,2,30,228.48,1,6.346666666666667
0,0,36,0,133,2,0,2,3,1,2,30,5.4,1,0.15000000000000002
1,0,36,0,1668,25,0,6,3,1,1,30,67.72,0,1.8811111111111112
3,0,33,1,6785,97,14,22,5,1,1,55,124.23,0,3.7645454545454546
0,1,36,0,628,7,9,4,4,1,2,45,38.375,1,1.0659722222222223
0,0,36,1,338,4,4,2,5,1,1,55,11.13,0,0.3091666666666667
25,0,31,3,16075,238,0,80,2,2,1,25,734.085,0,23.68016129032258
6,0,34,3,6965,116,271,33,2,2,1,25,1538.145,0,45.239558823529414
2,0,36,0,3718,82,2,28,2,1,1,25,180.0,0,5.0
3,0,35,0,1665,44,38,20,3,1,2,30,220.36,0,6.296
6,0,36,0,2780,53,175,23,2,1,1,25,914.985,0,25.41625
4,0,27,1,1315,36,193,11,2,2,1,25,929.295,0,34.41833333333333
4,0,26,0,1568,39,30,68,4,1,1,45,115.175,0,4.429807692307692
11,0,27,0,700,25,10,7,2,1,2,25,77.625,0,2.875
0,0,26,0,825,10,21,3,4,1,2,45,73.375,1,2.8221153846153846
10,0,25,0,1225,32,19,13,2,1,1,25,142.065,0,5.6826
2,0,25,0,3225,61,8,23,3,1,1,30,163.44,0,6.5376
2,0,18,0,1695,26,28,14,2,1,1,25,203.445,0,11.3025
16,0,17,1,6393,141,85,42,2,2,1,25,676.53,0,39.79588235294118
12,0,15,0,8933,171,73,40,4,1,1,45,410.1,0,27.34
8,0,16,3,2853,45,31,19,3,2,1,30,239.92,0,14.995
2,0,9,1,4390,40,215,10,3,1,1,30,1037.2,0,115.24444444444445
